场景路径,章节名称,scnbeventsAttachPropDescriptor,scnbeventsCameraClipDescriptor,scnbeventsChangeWorkEvent,scnbeventsSocketDescriptor,scnbeventsStopWorkEvent,scnbeventsVFXDurationEventDescriptor,scnbeventsVFXEventDescriptor,toolsAddIdleEventDescriptor,toolsAudioEventDescriptor,toolsChangeIdleAnimDescriptor,toolsDialogLineEventDescriptor,toolsLookAtAdvancedDescriptor,toolsLookAtDescriptor,toolsPlaySkAnimDescriptor
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,0,0,0,1,0,0,0,0,0,0,1,0,1,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_restaurant_crew_comment,0,0,0,0,0,0,0,0,0,0,1,0,2,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_relax_johnny,0,0,1,0,0,0,0,0,0,1,1,0,2,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_no_love_for_corpo,0,0,1,1,0,0,0,0,0,1,2,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_drinking,2,0,1,3,0,0,2,0,0,0,1,0,2,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar,0,0,0,0,0,0,1,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar_2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_player_sitting_animation,2,1,1,0,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guards_lookats,0,0,0,0,0,0,0,0,0,2,1,0,2,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guard_movement,0,0,1,2,0,0,0,0,0,0,1,0,2,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_walking_into_frame,0,0,1,1,0,0,1,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_walking_into_frame_02,1,0,1,0,0,0,0,0,0,0,1,0,1,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_nod,0,0,0,0,0,0,0,0,0,0,1,0,0,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,0,0,1,0,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guard_to_hanako,0,0,0,2,0,0,2,0,0,2,2,0,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,0,2,0,4,1,0,2,0,0,1,1,0,0,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_drinking,2,0,0,0,0,0,3,0,0,1,1,0,0,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_stopping_scenespots,1,0,3,0,0,0,0,0,0,0,1,0,0,1
