场景路径,段落名称,轨道总数,类型1轨道数,类型2轨道数,类型3轨道数,类型4轨道数,类型5轨道数,类型6轨道数,类型7轨道数,类型8轨道数,Clip总数,动画种类数,动画使用总次数
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,13,1,2,2,2,2,2,0,2,12,4,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_drinking,9,1,1,1,1,2,1,0,1,9,3,5
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_stopping_scenespots,13,1,2,2,2,2,2,0,2,6,4,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_08,13,1,2,2,2,2,2,0,2,5,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_01_lookat,13,1,2,2,2,2,2,0,2,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_animations,13,1,2,2,2,2,2,0,2,5,3,8
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_09,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_moving_back,13,1,2,2,2,2,2,0,2,3,4,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_to_stand_hands_back,13,1,2,2,2,2,2,0,2,2,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_AV_sfx,8,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_ending_scenespot,7,1,1,1,1,1,1,0,1,2,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_01_ending_scenespot,7,1,1,1,1,1,1,0,1,3,4,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_backtopose,13,1,2,2,2,2,2,0,2,7,3,10
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_pose,7,1,1,1,1,1,1,0,1,4,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_by_the_stairs,7,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_getting_up,7,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_by_the_window,7,1,1,1,1,1,1,0,1,3,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guards_scenespots,7,1,1,1,1,1,1,0,1,2,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_11,7,1,1,1,1,1,1,0,1,5,3,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_12,7,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_sickness_lvl2_play,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_sickness_lvl1_play,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_sickness_lvl1_break,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_jackie_revealed,1,1,0,0,0,0,0,0,0,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_jackie_how,1,1,0,0,0,0,0,0,0,4,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_lie,1,1,0,0,0,0,0,0,0,3,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_talk_jackie,1,1,0,0,0,0,0,0,0,3,0,0
