scene_name,quest_category,choice_sections,normal_sections,total_sections,total_lines,file_path
q104_07b_haru_found,main_quests/part1/q104,3,24,27,43,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_07b_haru_found.scnlocjson
q104_07c_nomads_arrive,main_quests/part1/q104,7,50,57,162,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_07c_nomads_arrive.scnlocjson
q104_07_gas_station_chats,main_quests/part1/q104,1,8,9,46,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_07_gas_station_chats.scnlocjson
q104_08_courier_talks,main_quests/part1/q104,17,85,102,246,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_08_courier_talks.scnlocjson
q105_00_holocall_judy,main_quests/part1/q105,2,8,10,24,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_00_holocall_judy.scnlocjson
q105_01a_bouncer,main_quests/part1/q105,4,27,31,55,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_01a_bouncer.scnlocjson
q105_01b_barman,main_quests/part1/q105,1,9,10,32,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_01b_barman.scnlocjson
q105_01c_lizzies_boss,main_quests/part1/q105,4,12,16,41,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_01c_lizzies_boss.scnlocjson
q105_01_lizzies,main_quests/part1/q105,0,21,21,55,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_01_lizzies.scnlocjson
q105_02c_to_dollhouse,main_quests/part1/q105,3,11,14,32,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_02c_to_dollhouse.scnlocjson
q105_02_lizzy_meet_judy,main_quests/part1/q105,13,74,87,189,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_02_lizzy_meet_judy.scnlocjson
q105_03a_dollhouse_doll_01,main_quests/part1/q105,41,82,123,260,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_03a_dollhouse_doll_01.scnlocjson
q105_03a_dollhouse_doll_02,main_quests/part1/q105,35,80,115,267,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_03a_dollhouse_doll_02.scnlocjson
q105_03a_dollhouse_manager,main_quests/part1/q105,19,81,100,195,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_03a_dollhouse_manager.scnlocjson
q105_03b_dollhouse_tom,main_quests/part1/q105,13,43,56,132,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_03b_dollhouse_tom.scnlocjson
q105_03c_dollhouse_woodman,main_quests/part1/q105,29,127,156,422,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_03c_dollhouse_woodman.scnlocjson
q105_03d_dollhouse_evelyn_attack,main_quests/part1/q105,1,1,2,2,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_03d_dollhouse_evelyn_attack.scnlocjson
q105_03d_dollhouse_investigation,main_quests/part1/q105,8,18,26,46,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_03d_dollhouse_investigation.scnlocjson
q105_03e_dollhouse_leave,main_quests/part1/q105,4,23,27,56,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_03e_dollhouse_leave.scnlocjson
q105_03_dollhouse_mood,main_quests/part1/q105,4,50,54,172,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_03_dollhouse_mood.scnlocjson
q105_04a_judy_holocall,main_quests/part1/q105,3,10,13,31,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_04a_judy_holocall.scnlocjson
q105_04b_bar,main_quests/part1/q105,1,14,15,34,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_04b_bar.scnlocjson
q105_04c_braindance_dealer,main_quests/part1/q105,4,24,28,74,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_04c_braindance_dealer.scnlocjson
q105_04d_gang,main_quests/part1/q105,0,4,4,16,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_04d_gang.scnlocjson
q105_04_jigjig_street,main_quests/part1/q105,3,36,39,64,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_04_jigjig_street.scnlocjson
q105_05_fingers_enter,main_quests/part1/q105,14,84,98,233,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_05_fingers_enter.scnlocjson
q105_06a_fingers_escape,main_quests/part1/q105,8,57,65,117,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_06a_fingers_escape.scnlocjson
q105_06b_fingers_interrogation,main_quests/part1/q105,14,77,91,163,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_06b_fingers_interrogation.scnlocjson
